STATION CODE,LOCATIONS,STATE,D.O. (mg/l),PH,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),WQI
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,6.9,7.2,1.4,2.66,14.0,53.52566231884058
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.9,6.784999999999999,1.0,0.15,0.15,42.3459866521739
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,6.1,7.8,1.5,0.06,1032.0,92.16553130434782
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.7,7.7,2.3,2.04,5.0,70.9306495652174
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.4,6.6,1.0,0.25,154.0,44.93108376811593
1632,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,10.0,7.1,1.0,4.0,240.0,38.569333333333326
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,6.5,6.8,2.3,0.04,5.0,62.61407681159421
1427,UMTREW AT BYRNIHAT EAST,MEGHALAYA,7.7,7.2,6.6,3.02,285.0,101.83592666666668
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,6.4,7.45,2.02,0.16,1787.0,105.57983976811596
2296,R THALLASSERY AT PATHIPPALAM,KERALA,6.4,6.1,0.7,0.28,213.0,34.86658376811593
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",TRIPURA,6.5,8.0,4.2,0.99,488.0,104.57196347826088
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,6.7,7.1,0.6,0.0,222.0,50.11150956521739
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.7,7.221999999999999,2.4,0.9,0.9,58.56479999999996
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,6.7,6.9,0.9,0.2,82.0,46.12089623188407
1564,"AYUR, KERALA",KERALA,7.3,7.4,0.7,4.1,490.0,59.759434492753634
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,7.2,7.6,1.4,1.0,188.0,62.78358811594202
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,6.1,7.0,5.2,0.56,26.0,87.67367797101451
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,5.0,7.3,19.3,6.2,21467.0,706.2665144927537
2425,"RIVER KERANDI (INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ODISHA,7.2,7.8,1.3,0.4,328.0,68.47754811594203
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",GUJARAT,4.8,7.5,8.8,0.2,23.0,138.74778840579708
1704,"GHAGGAR AT D/S SARDULGARH, PUNJAB",PUNJAB,3.1,7.6,11.5,4.1,9000.0,383.6358666666666
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,6.0,6.9,1.8,0.61,290.0,62.1737115942029
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,7.3,7.4,0.7,0.3,6.0,48.50082782608696
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.3,7.0,1.6,0.32,487.0,65.31350405797102
3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,7.5,7.2,1.6,2.5,22.0,52.576107246376814
18,"PERIYAR AT KALADY, KERALA",KERALA,7.5,6.8,0.8,0.3,200.0,42.38897391304348
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,6.5,7.1,1.0,0.0,156.0,53.07118347826087
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,6.5,6.5,0.9,0.4,87.0,40.27209681159421
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,7.12,7.55,1.72,0.45,18.0,61.32109034782608
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.6,7.7,1.7,0.14,1831.0,111.8115527536232
2676,"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,6.9,7.9,2.7,1.58,4.0,76.92142231884058
1865,RIVER DHADAR AT KOTHADA,GUJARAT,7.8,6.933333333333334,19.5,1.1755555555555557,29.88888888888889,204.9745235619968
2287,R ITHIKKARA AT ITHIKKARA,KERALA,6.2,7.2,2.0,1.01,184.0,67.50895101449275
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,6.0,6.2,1.5,0.28,9.0,41.05283159420291
1865,RIVER DHADAR AT KOTHADA,GUJARAT,8.1,7.6,8.6,0.4,22.0,118.57390550724637
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,6.5,6.7,3.3,3.0,32.0,64.07284347826088
1162,TAMBIRAPARANI AT MURAPPANADU,TAMIL NADU,6.9,7.0,1.9,0.25,83.0,55.810588985507245
3373,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,7.7,7.1,1.6,3.93,8.0,49.71564
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,3.6,6.5,1.8,0.95,105.0,67.52377188405796
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, ",GUJARAT,3.2,7.7,6.3,0.51,3900.0,211.31047304347828
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.9,7.6,3.5,0.75,37.0,79.3816556521739
2305,R SHRIYA AT ANGADIMOGARU,KERALA,6.9,6.7,1.8,0.0,93.0,49.88421565217392
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMIL NADU,7.4,7.0,0.98,0.19,27.0,43.97326420289854
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMIL NADU,7.2,6.4,1.2,0.12,67.0,37.35257478260869
1704,"D/S SARDULGARH, PUNJAB",PUNJAB,5.0,7.4,14.76,2.08,8860.0,388.14104715942034
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,6.47,7.38,3.73,0.31,10.0,79.06524889855072
2288,PALLICKAL AT NELLIMUKAL,KERALA,6.7,7.0,0.5,0.29,208.0,47.17125623188407
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,5.5,7.4,8.8,5.08,1400.0,161.4656263768116
1573,"IRUPANAM, KERALA",KERALA,6.5,6.57,1.9,0.76,0.76,48.56420681159421
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMIL NADU,7.0,7.0,1.5,0.1,113.0,52.45796202898552
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.3,7.0,1.0,0.1,1286.0,73.11480115942028
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.7,7.8,4.9,0.3,14.0,95.6363895652174
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,4.9,7.8,3.5,1.63375,57.0,93.211138115942
1547,RIVER TALPONA AT CANACONA,GOA,7.0,6.9,0.8,0.21,667.0,57.35672869565219
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,6.6,7.1,1.1,0.26,126.0,56.2861431884058
1633,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,8.3,7.1,2.13,3.56125,270.0,57.37990159420288
2334,RIVER PERIYAR AT PATHALAM,KERALA,5.9,7.0,2.2,0.62,330.0,69.69207188405798
2947,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,5.3,7.8,1.7,0.3766666666666666,4.333333333333333,73.95413584541062
1475,ZUARI AT PANCHAWADI,GOA,7.0,6.829000000000001,2.4,0.294,712.5,70.65715069565219
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,6.6,7.75,4.5,0.5,15.0,91.8018791884058
2352,"VAMSHADHARA, KALINGAPATNAM, VIZIANAGARAM",ANDHRA PRADESH,6.4,7.7,1.1,3.34,3.0,61.89300376811593
1702,"U/S JHARMAL NADI, PUNJAB",PUNJAB,6.9,7.4,3.75,0.98,200.0,82.55068231884057
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,7.3,6.9,1.9,0.2,89.0,52.39353449275364
1702,"GHAGGAR AT U/S JHARMAL NADI, PUNJAB",PUNJAB,5.2,7.3,6.27,1.4,23723.0,642.3444065797102
1570,"HOSDURG, KERALA",KERALA,6.4,7.1,1.0,5.2,760.0,71.72158376811595
1700,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.2,7.37,14.67,1.7,34033.0,957.2037501449277
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,7.3,7.1,1.6,2.4,19.0,51.72086782608695
2334,RIVER PERIYAR AT PATHALAM,KERALA,6.2,6.8,1.6,0.39,1129.0,76.76352434782608
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,5.3,3.3,7.7,3.2,18.0,49.6078936231884
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",GUJARAT,7.5,7.505714285714285,11.7,1.6285714285714286,1484.428571428571,182.59347448447207
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,7.2,7.2,2.7,1.0,3.0,63.20346811594202
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,6.9,7.6,1.6,1.39,3066.0,130.74214898550724
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,0.8,6.8,7.4,1.0,14825.0,461.20021333333335
1436,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,GUJARAT",GUJARAT,3.2,7.8,5.8,0.2,833.0,139.9212597101449
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,8.2,7.1,1.2,2.81,15.0,43.804511884057966
1443,ACHENKOIL AT CHENNITHULA,KERALA,6.6,7.0,1.1,0.53,275.0,54.5217431884058
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,6.8,7.1,1.0,0.4266666666666667,13.0,48.50019149758455
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,2.5,7.1,37.2,11.81,53083.0,1582.9282284057974
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,6.82,7.12,3.67,1.52,316.0,79.38385788405796
3458,KARAPUZHA DAM AT WAYANAD,KERALA,6.7,7.6,0.5,2.5,44.0,54.13254289855072
2299,RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,5.6,6.4,1.0,0.4,165.0,47.22409942028988
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,4.7,7.3,23.8,4.0,28250.0,900.8349020289857
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,6.3,7.6,4.4,1.86,48.0,90.62671739130435
2334,RIVER PERIYAR AT PATHALAM,KERALA,5.9,6.8,2.2,0.62,386.0,67.03351188405797
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,6.3,6.5,4.0,4.0,38.0,67.99409072463769
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,7.3,7.0,2.2,0.69,2085.0,101.36258782608698
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,6.75,7.3,1.67,0.67,29.0,58.51790542028986
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,7.5,7.5,2.1,2.0,22.0,62.16578057971014
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,6.3,8.3,2.7,1.58,64.0,88.11006405797104
1404,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,5.4,7.37,1.8,0.22,456.0,76.86404933333333
1632,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,5.4,7.2,1.7,1.78,213.0,67.77713333333334
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,6.9,7.131111111111112,6.8,2.991111111111111,272.77777777777777,105.93508757809984
2326,R KORAYAR AT KANJIKODE,KERALA,7.1,8.0,1.2,0.4,374.0,72.68655507246378
1462,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,6.6,7.5,3.9,0.4,129.0,84.69658985507246
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,6.7,7.6,4.8,0.2,28.0,91.58711623188404
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,5.9,6.2,0.5,0.6,1100.0,57.17010521739132
1633,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,7.9,7.3,1.7,5.02,295.0,59.669999420289855
1328,TAMBIRAPARANI AT PAPPANKULAM,TAMIL NADU,7.0,6.9,1.7,0.4,87.0,51.88918202898552
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,7.2,7.3,2.9,0.08,46.0,67.64384144927537
1717,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,5.4,7.8,1.7,0.41,3.0,73.40520666666666
1566,"THIRURANGADY, KERALA",KERALA,6.6,6.5,0.8,0.13,195.0,41.37264985507246
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,6.4,7.3,1.7,0.62,199.0,64.36129710144928
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,7.2,8.2,3.3,1.0,39.0,86.66058811594202
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,5.7,6.7,1.9,0.35,221.0,59.48190579710144
1544,VALVANT AT SANKLINANBICHOLIM,GOA,6.7,6.2,0.9,0.57,8.0,32.3785695652174
1456,"RUSHIKULYA AT GANJAM D/S, ORISSA",ORISSA,7.7,7.849999999999999,1.7,0.96,0.96,63.83126999999998
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.9,7.3,3.4,1.7,3.5,73.83293231884058
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,4.6,7.4,24.3,4.0,21500.0,757.0261089855073
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD, GUJARAT",GUJARAT,7.5,7.654000000000001,5.5,0.62,222.6,99.93846057971017
2303,R PULLUR AT PULLUR BR.,KERALA,6.0,6.1,1.2,0.0,136.0,39.48615826086956
2780,"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,7.1,7.4,1.9,0.72,419.0,69.43154173913044
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,6.5,6.6,1.2,0.24,175.0,46.95664347826087
3186,RIVER MANDOVI AT IFFI JETTY,GOA,6.2,7.8,2.0,0.06,9429.0,282.45084434782615
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,6.6,6.3,1.0,0.16,248.0,40.78292985507246
1384,MANIMALA AT THONDRA,KERALA,7.1,7.0,1.0,0.66,985.0,67.11936173913044
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.0,7.3,1.5,0.02,30.0,55.74261536231884
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,4.3,7.2,1.8,0.4,188.0,73.35606985507246
2199,SAVITRI AT OVALE VILLAGE.,MAHARASHTRA,6.3,7.5,2.9,1.93,5.0,77.0062507246377
1633,"SIMSANG, WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,8.35,7.12,1.52,3.08,252.5,51.62563644927537
2296,R THALLASSERY AT PATHIPPALAM,KERALA,7.3,6.1,0.7,0.2,150.0,29.269514492753625
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6.0,7.4,59.1,3.08,4.0,574.9848449275362
2424,BUDHABALANGA AT BALASORE D/S,ORISSA,7.6,7.6,2.3,2.66,19264.0,498.5302336231885
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,7.9,7.1,1.2,3.55,23.0,45.51075942028985
18,"PERIYAR AT KALADY, KERALA",KERALA,7.0,7.0,1.1,0.2,276.0,52.54821536231885
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN B/C WITH RIVER NETHRAVATHI,KARNATAKA,6.9,7.2,1.0,0.67,14.0,49.775208985507234
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,6.97,6.93,0.83,0.4,1600.0,78.79284811594202
1092,KALU AT ATALE VILLAGE,MAHARASHTRA,7.0,7.4,4.0,2.16,95.0,82.0121286956522
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,6.6,7.2,3.9,0.45,228.0,81.84123652173913
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,6.7,7.5,4.6,0.6,47.0,88.60792956521739
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,5.5,7.6,7.6,1.02,81.0,123.57171304347824
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,6.6,6.2,0.6,1.97,475.0,40.8357831884058
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,5.8,7.8,2.93,0.1,518.0,93.78352550724638
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,6.2,6.3,1.8,0.31,7.0,44.465097681159406
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,7.1,7.5,1.4,0.0,13.0,57.51598173913044
1570,"HOSDURG, KERALA",KERALA,7.0,7.2,0.3,0.3,68.0,46.97844869565218
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,5.8,7.8,0.6,0.85,2.0,62.06952550724638
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,6.7,6.9,0.5,0.22,308.0,48.18584289855074
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,6.6,6.409000000000001,1.9,0.223,1221.6,72.10647985507248
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,7.2,6.5,3.1,0.0,19.0,54.81057478260869
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,7.2,7.1,1.9,3.4,28.0,55.174148115942025
17,PERIYAR NEAR ALWAYENANELOOR,KERALA,5.2,6.6,1.5,0.38,644.0,66.94464057971012
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,6.9,6.9,1.1,0.4,249.0,50.73782898550724
1861,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,7.05,8.0,4.7,1.2,13400.0,399.04536521739135
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,7.8,8.5,0.6,3.01,1700.0,102.7775463768116
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,5.4,7.0,1.7,0.92,29.0,61.75268666666666
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,7.2,7.7,3.3,1.0,39.0,77.98234811594206
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,5.1,7.85,12.0,1.65,3050.0,242.4713608695652
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,7.3,8.0,1.2,2.26,16103.0,420.4373411594203
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,7.5,6.9,1.9,4.92,20.0,50.24585391304348
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,6.4,7.1,1.1,0.1,4464.0,151.35822376811592
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,9.6,7.1,4.4,3.0,310.0,72.06884782608697
2463,"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA",DAMAN,6.2,7.4,8.0,3.2,265.0,124.69513101449276
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,6.3,6.3,1.2,0.67,224.0,43.62535072463768
1548,RIVER ASSONORA AT ASSONORA,GOA,6.8,6.6,1.5,0.14,2495.0,99.89798927536232
2050,"TLAWNG UPSTREAM AIZAWL, MIZORAM",MIZORAM,6.7,7.9,0.4,0.12,11.125,57.460012065217406
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.5,7.2,23.8,3.45,34000.0,1065.8549026086955
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,6.0,6.75,0.98,0.79,1900.0,88.71783159420289
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,8.1,7.1,3.2,0.21,1300.0,91.34771217391304
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,7.3,7.3,2.07,0.55,153.0,62.20352115942029
3376,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,7.3,6.6,2.5,2.4,176.0,54.60254782608695
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,5.6,6.7,10.8,2.0,1825.0,176.07013275362323
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,7.2,7.1,1.6,2.86,17.0,52.20760811594203
2422,"PENTA U/S, JAYKAYPUR TOWN",ODISHA,7.6,7.9,1.4,0.13,1188.0,88.44062028985509
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,6.8,7.5,0.4,0.18,478.0,60.55720260869565
1564,AYUR,KERALA,7.1,6.9,0.6,0.73,300.0,46.511295072463774
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,6.7,7.1,1.6,0.34,313.0,61.03928289855073
3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,3.2,7.1,23.5,10.3,31833.0,981.1923663768116
2295,R CORAPUZHA AT KANAYANKODE,KERALA,6.0,7.1,1.1,0.14,750.0,72.67582492753623
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,5.9,7.48,8.35,2.2,4050.0,218.7867585507246
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,6.7,7.35,1.89,0.97,13.0,61.31420489855072
1403,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,6.6,7.8,1.8,0.0125,209.0,73.0364031884058
1632,GANOL RIVER TURA,MEGHALAYA,7.6,7.4,2.1,2.89,276.0,65.73508028985508
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,0.7,6.6,12.5,1.48,40833.0,1087.151640289855
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,6.9,7.5,2.3,3.93,4.0,66.6994956521739
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.7,1.5,0.07,4153.0,162.0941794202899
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,6.9,7.9,5.0,0.4,15.0,97.33218898550726
3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,7.6,7.0,1.3,3.01,11.0,45.77106028985508
2082,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",GUJARAT,6.2,8.4,1.3,0.24,73.0,78.48306434782609
1148,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,6.8,8.2,2.5,0.87,7.0,81.16032260869567
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,6.6,6.7,2.5,0.2,10.0,55.6967031884058
1700,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,6.4,7.8,13.8,2.53,56500.0,1474.637223768116
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,6.7,6.3,3.3,1.5,21.0,55.7314095652174
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,1.4,6.2,2.2,0.48,351.0,77.12187826086956
1456,"RUSHIKULYA AT GANJAM D/S, ORISSA",ORISSA,7.0,8.0,1.8,2.54,16613.0,445.7932353623189
1148,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,6.2,8.0,3.1,0.8071428571428572,10275.0,316.2060319668737
2276,RIVER BICHOLIM VARAZAN NAGAR,GOA,6.7,6.3,2.0,0.44,10.0,43.88769623188406
2948,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,5.1,7.8,1.7,0.26,6.0,74.95028753623187
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,6.4,7.4,4.3,2.89,524.0,96.73942376811594
1404,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,6.3,8.0,3.4,0.3,380.0,95.97005739130434
2294,R KALLAI AT KALLAI BRIDGE,KERALA,4.0,7.5,1.1,0.76,945.0,96.44145072463768
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,7.1,6.8,1.8,0.1,65.0,53.263715072463775
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.9,7.0,1.1,0.1,3500.0,125.66422898550724
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,7.0,7.7,0.4,0.2,17.0,52.76077536231885
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,7.2,7.4,0.7,0.5,840.0,67.66596144927537
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,7.9,7.375,4.2,0.3,1076.2222222222222,99.77428719806764
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMIL NADU,7.2,6.7,1.6,0.1,94.0,46.75176811594203
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,6.6,7.8,2.25,0.01,10.0,72.52504985507245
2459,"DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN ",DAMAN,5.6,7.5,25.0,18.73,5.0,278.8709994202899
2295,R CORAPUZHA AT KANAYANKODE,KERALA,5.9,7.4,0.7,0.5,1888.0,101.34889188405798
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,7.1,7.4,2.7,0.9,2.833333333333333,67.13225840579712
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,7.2,6.884,1.8,0.19,902.3,69.52018011594203
