STATION CODE,LOCATIONS,STATE,D.O. (mg/l),PH,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),WQI
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,5.1,8.1,3.7,0.45,3900.0,185.55812086956524
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,8.1,6.3,1.1,0.31,100.0,31.56262550724638
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,7.2,6.76,1.69,0.45,127.0,49.34151078260868
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.35,7.1,1.42,0.15,41.0,50.21710034782608
1570,"HOSDURG, KERALA",KERALA,6.33,7.17,0.7,0.33,140.0,57.55976530434783
2304,R MOGRAL AT MOGRAL BR.,KERALA,5.7,7.3,1.5,0.35,46.0,65.29262579710145
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,7.0,6.6,0.6,0.75,295.0,41.66946869565218
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,8.0,7.2,1.4,2.47,5.0,48.01315246376812
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,6.6,7.2,0.8,0.77,332.0,56.62738318840581
2302,NEELASWARAM AT NAMBIARKAL DAM,KERALA,6.3,7.0,1.4,0.22,963.0,74.5443507246377
3188,RIVER TIRACOL AT TIRACOL,GOA,5.9,7.7,2.1,0.08,1200.0,99.317011884058
2271,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.1,6.5,2.0,0.43,9.0,50.239304637681165
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,7.1,6.942,0.5,0.34,0.34,40.20682507246378
3376,LUKHA RIVER,MEGHALAYA,7.1,6.5,3.8,4.56,674.0,76.72106173913043
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.8,6.4,2.3,0.08,49.0,43.89853971014494
1403,"GUMTI AT U/S SOUTH TRIPURA, TRIPURA",TRIPURA,5.2,7.4,1.4,0.05,203.0,69.13874057971015
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.0,7.2,9.5,0.9,85.0,126.21000869565218
1642,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",ORISSA,6.9,8.2,2.8,2.12,1400.0,114.36350231884056
2287,R ITHIKKARA AT ITHIKKARA,KERALA,6.3,7.0,0.7,0.85,230.0,51.726490724637685
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,5.9,7.4,6.4,0.4,37.0,106.38671855072464
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,4.9,7.4,14.0,4.4,8000.0,371.5147414492754
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,6.9,6.8,1.6,0.2,82.0,49.632982318840575
2426,MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,7.1,7.9,1.4,0.48,1065.0,88.19528173913045
2164,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,6.9,7.5,2.2,0.42,2.0,65.3300156521739
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.1,6.6,1.0,0.12,2367.0,91.10600173913043
18,"PERIYAR AT KALADY, KERALA",KERALA,7.4,7.0,0.9,0.26,386.0,51.435567536231886
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,6.3,7.43,2.17,0.76,2825.0,130.1537367246377
2284,R NEYYAR AT ARUVIPURAM,KERALA,7.6,7.2,0.6,0.65,463.0,53.03149362318841
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,7.8,7.0,2.3,4.3,28.0,54.202486376811606
1246,DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT,5.0,8.3,4.1,1.48,7.0,108.1782811594203
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,6.6,6.9,1.6,0.29,264.0,56.9635231884058
3186,RIVER MANDOVI AT IFFI JETTY,GOA,6.4,7.6,2.2,0.1,3478.0,147.37916376811597
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,7.4,7.5,2.1,1.23,1663.0,101.25560086956524
1443,ACHENKOIL AT CHENNITHULA,KERALA,6.6,6.9,0.9,0.49,223.0,49.823929855072464
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,7.8,7.1,1.6,2.62,15.0,49.2480063768116
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,7.3,7.0,0.7,0.66,228.0,46.53538782608696
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,7.5,7.9,1.5,1.0,1615.0,99.68434724637682
1567,R KUTTIYADY AT  KUTTIYADY ESTATE,KERALA,7.1,7.0,0.4,0.11,73.0,41.30154840579711
1571,"KAKKADAVU,  KERALA",KERALA,7.5,6.9,0.5,0.2,138.0,40.08098057971015
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,5.6,7.4,15.3,15.0,16750.0,566.9132660869565
1545,MADAI AT DABOS NAN  VALPOI,GOA,7.1,6.2,1.4,0.68,6.0,34.839028405797094
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,7.1,7.0,1.8,2.58,20.0,52.76054173913043
2287,R ITHIKKARA AT ITHIKKARA,KERALA,6.1,7.0,0.8,0.66,500.0,59.40371130434782
1865,RIVER DHADAR AT KOTHADA,GUJARAT,6.2,8.4,9.0,0.38,140.0,147.79253101449277
1699,"GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,6.8,7.3,5.4,1.35,635.0,106.84505260869568
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,5.1,7.0,3.6,4.7,351.0,86.03612753623189
1643,NAGAVALLI AT RAYAGADA D/S,ORISSA,7.2,8.1,3.1,1.46,2196.0,131.89762144927536
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,7.2,6.8,1.5,0.3,173.0,49.3976147826087
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,6.8,6.9,0.9,0.45,39.0,44.72168260869566
2304,R MOGRAL AT MOGRAL BR.,KERALA,5.2,7.2,1.2,0.18,843.0,82.84175391304348
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,7.1,7.4,2.2,0.63,4.0,62.715501739130445
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,5.4,6.6,1.6,0.27,335.0,59.10031999999999
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,7.0,6.8,2.0,0.49,12140.0,324.4598020289856
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.9,7.5,16.5,5.0,12375.0,482.3625414492753
2294,R KALLAI AT KALLAI BRIDGE,KERALA,2.8,7.4,1.6,0.47,1050.0,105.65416753623192
1698,"GHAGGAR AT D/S CHHATBIR, PUNJAB",PUNJAB,5.1,7.37,6.93,1.4,2723.0,183.3622875362319
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,7.0,7.7,3.2,0.13,8.0,77.25512202898551
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMIL NADU,6.9,7.1,1.78,0.13,110.0,57.08266898550723
1543,KALNA AT CHANDELNAN PERNEM,GOA,7.3,6.9,0.7,0.09,1430.0,72.17136782608696
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,6.8,6.98,0.48,0.21,211.0,47.79452460869566
1563,"AMARAVILA, KERALA",KERALA,6.8,6.993,0.9,0.42,0.42,45.72369460869566
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,7.1,7.8,3.3,0.44,33.0,80.0150684057971
1862,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,6.7,7.9,2.9,0.63,10725.0,324.1164695652174
